time	V(vout)
Step Information: Run=1  (Step: 1/250)
1.595489203661486e+00	1.321073e-04
1.599395453661486e+00	1.388493e-04
1.603301703661486e+00	1.306937e-04
1.607207953661486e+00	1.374508e-04
1.611114203661486e+00	1.293114e-04
1.615020453661486e+00	1.360832e-04
1.618926703661486e+00	1.279596e-04
1.622832953661486e+00	1.347458e-04
1.626739203661486e+00	1.266376e-04
1.630645453661486e+00	1.334379e-04
1.634551703661486e+00	1.253448e-04
1.638457953661486e+00	1.321589e-04
1.642364203661486e+00	1.240806e-04
1.646270453661486e+00	1.309082e-04
1.650176703661486e+00	1.228443e-04
1.654082953661486e+00	1.296850e-04
1.657989203661486e+00	1.216353e-04
1.661895453661486e+00	1.284889e-04
1.665801703661486e+00	1.204529e-04
1.669707953661486e+00	1.273192e-04
1.673614203661486e+00	1.192967e-04
1.677520453661486e+00	1.261753e-04
1.681426703661486e+00	1.181660e-04
1.685332953661486e+00	1.250566e-04
1.689239203661486e+00	1.170603e-04
1.693145453661486e+00	1.239627e-04
1.697051703661486e+00	1.159789e-04
1.700957953661486e+00	1.228929e-04
1.704864203661486e+00	1.149215e-04
1.708770453661486e+00	1.218468e-04
1.712676703661486e+00	1.138874e-04
1.716582953661486e+00	1.208237e-04
1.720489203661486e+00	1.128761e-04
1.724395453661486e+00	1.198232e-04
1.728301703661486e+00	1.118872e-04
1.732207953661486e+00	1.188448e-04
1.736114203661486e+00	1.109201e-04
1.740020453661486e+00	1.178881e-04
1.743926703661486e+00	1.099743e-04
1.747832953661486e+00	1.169524e-04
1.751739203661486e+00	1.090495e-04
1.755645453661486e+00	1.160375e-04
1.759551703661486e+00	1.081450e-04
1.763457953661486e+00	1.151427e-04
1.767364203661486e+00	1.072606e-04
1.771270453661486e+00	1.142678e-04
1.775176703661486e+00	1.063957e-04
1.779082953661486e+00	1.134121e-04
1.782989203661486e+00	1.055500e-04
1.786895453661486e+00	1.125755e-04
1.790801703661486e+00	1.047230e-04
1.794707953661486e+00	1.117574e-04
1.798614203661486e+00	1.039144e-04
1.802520453661486e+00	1.109575e-04
1.806426703661486e+00	1.031237e-04
1.810332953661486e+00	1.101754e-04
1.814239203661486e+00	1.023507e-04
1.818145453661486e+00	1.094108e-04
1.822051703661486e+00	1.015950e-04
1.825957953661486e+00	1.086634e-04
1.829864203661486e+00	1.008563e-04
1.833770453661486e+00	1.079330e-04
1.837676703661486e+00	1.001345e-04
1.841582953661486e+00	1.072193e-04
1.845489203661486e+00	9.942923e-05
1.849395453661486e+00	1.065222e-04
1.853301703661486e+00	9.874045e-05
1.857207953661486e+00	1.058417e-04
1.861114203661486e+00	9.806809e-05
1.865020453661486e+00	1.051777e-04
1.868926703661486e+00	9.741219e-05
1.872832953661486e+00	1.045303e-04
1.876739203661486e+00	9.677293e-05
1.880645453661486e+00	1.039000e-04
1.884551703661486e+00	9.615062e-05
1.888457953661486e+00	1.032871e-04
1.892364203661486e+00	9.554575e-05
1.896270453661486e+00	1.026923e-04
1.900176703661486e+00	9.495909e-05
1.904082953661486e+00	1.021167e-04
1.907989203661486e+00	9.439170e-05
1.911895453661486e+00	1.015616e-04
1.915801703661486e+00	9.384505e-05
1.919707953661486e+00	1.010290e-04
1.923614203661486e+00	9.332110e-05
1.927520453661486e+00	1.005213e-04
1.931426703661486e+00	9.282254e-05
1.935332953661486e+00	1.000421e-04
1.939239203661486e+00	9.235304e-05
1.943145453661486e+00	9.959603e-05
1.947051703661486e+00	9.191763e-05
1.950957953661486e+00	9.918972e-05
1.954864203661486e+00	9.152343e-05
1.958770453661486e+00	9.883261e-05
1.962676703661486e+00	9.118083e-05
1.966582953661486e+00	9.853884e-05
1.970489203661486e+00	9.090583e-05
1.974395453661486e+00	9.833084e-05
1.978301703661486e+00	9.072465e-05
1.982207953661486e+00	9.826967e-05
1.986114203661486e+00	9.068212e-05
1.990020453661486e+00	9.839745e-05
1.993926703661486e+00	9.090724e-05
1.997832953661486e+00	9.890998e-05
2.001739203661486e+00	9.161872e-05
2.005645453661486e+00	1.003734e-04
2.009551703661486e+00	9.386332e-05
2.013457953661486e+00	1.067594e-04
2.017364203661486e+00	1.481190e-04
2.017425238817736e+00	1.999883e-04
2.017440497606799e+00	2.231411e-04
2.017471015184924e+00	3.116872e-04
2.017478644579455e+00	3.566816e-04
2.017493903368518e+00	5.487048e-04
2.017497718065783e+00	6.622587e-04
